academic_year,Institution,State,Total,place_of_origin
0,All institutions in AL,AL,3,Guyana
0,All institutions in CA,CA,14,Guyana
0,All institutions in CT,CT,4,Guyana
0,All institutions in DC,DC,8,Guyana
0,All institutions in DE,DE,4,Guyana
0,All institutions in FL,FL,55,Guyana
0,All institutions in GA,GA,9,Guyana
0,All institutions in ID,ID,4,Guyana
0,All institutions in IL,IL,4,Guyana
0,All institutions in IN,IN,8,Guyana
0,All institutions in KY,KY,3,Guyana
0,All institutions in MA,MA,2,Guyana
0,All institutions in MD,MD,7,Guyana
0,All institutions in MI,MI,7,Guyana
0,All institutions in MN,MN,2,Guyana
0,All institutions in MO,MO,4,Guyana
0,All institutions in MS,MS,1,Guyana
0,All institutions in ND,ND,1,Guyana
0,All institutions in NE,NE,2,Guyana
0,All institutions in NJ,NJ,22,Guyana
0,All institutions in NY,NY,98,Guyana
0,All institutions in OH,OH,2,Guyana
0,All institutions in OK,OK,1,Guyana
0,All institutions in PA,PA,9,Guyana
0,All institutions in SC,SC,2,Guyana
0,All institutions in SD,SD,2,Guyana
0,All institutions in TX,TX,8,Guyana
0,All institutions in UT,UT,3,Guyana
0,All institutions in VA,VA,4,Guyana
0,All institutions in VT,VT,4,Guyana
0,All institutions in WI,WI,4,Guyana
